ut,met,situation,biome,lat,lon,alt_m,vs_mps,speed_mps,pitch_deg,heading_deg,roll_deg,apo_m,peri_m,throttle
3938.02,15.2,VesselSituation.landed,UNKNOWN,-0.048902,-74.710247,70.2,0.0,0.0,-21.72,90.18,0.02,70.2,-598435.5,0.0
3938.26,15.46,VesselSituation.landed,UNKNOWN,-0.048902,-74.710247,70.2,0.0,0.0,-21.72,90.18,0.02,70.2,-598435.5,0.0
3938.48,15.68,VesselSituation.landed,UNKNOWN,-0.048902,-74.710247,70.2,0.0,0.0,-21.72,90.18,0.02,70.2,-598435.4,0.0
3938.7,15.9,VesselSituation.landed,UNKNOWN,-0.048902,-74.710248,70.2,0.0,0.0,-21.72,90.18,0.02,70.2,-598435.5,0.0
3938.86,16.06,VesselSituation.landed,UNKNOWN,-0.048902,-74.710248,70.2,0.0,0.0,-21.72,90.18,0.02,70.2,-598435.4,0.0
3939.12,16.32,VesselSituation.landed,UNKNOWN,-0.048902,-74.710248,70.2,0.0,0.0,-21.73,90.18,0.02,70.2,-598435.5,0.0
3939.34,16.54,VesselSituation.landed,UNKNOWN,-0.048902,-74.710248,70.2,0.0,0.0,-21.72,90.18,0.02,70.2,-598435.5,0.0
3939.56,16.76,VesselSituation.landed,UNKNOWN,-0.048902,-74.710248,70.2,0.0,0.0,-21.72,90.18,0.02,70.2,-598435.5,0.0
3939.78,16.98,VesselSituation.landed,UNKNOWN,-0.048902,-74.710248,70.2,0.0,0.0,-21.72,90.18,0.02,70.2,-598435.5,0.0
3940.0,17.2,VesselSituation.landed,UNKNOWN,-0.048902,-74.710249,70.2,0.0,0.0,-21.72,90.18,0.02,70.2,-598435.4,0.0
3940.18,17.38,VesselSituation.landed,UNKNOWN,-0.048902,-74.710249,70.2,0.0,0.0,-21.72,90.18,0.02,70.2,-598435.5,0.0
3940.44,17.64,VesselSituation.landed,UNKNOWN,-0.048902,-74.710249,70.2,0.0,0.0,-21.72,90.18,0.02,70.2,-598435.5,0.0
3940.66,17.86,VesselSituation.landed,UNKNOWN,-0.048902,-74.710249,70.2,0.0,0.0,-21.72,90.18,0.02,70.2,-598435.5,0.0
3940.86,18.06,VesselSituation.landed,UNKNOWN,-0.048902,-74.710249,70.2,0.0,0.0,-21.73,90.18,0.02,70.2,-598435.4,0.0
3941.08,18.28,VesselSituation.landed,UNKNOWN,-0.048901,-74.710249,70.2,0.0,0.0,-21.73,90.18,0.02,70.2,-598435.5,0.0
3941.3,18.5,VesselSituation.landed,UNKNOWN,-0.048901,-74.71025,70.2,0.0,0.0,-21.72,90.18,0.02,70.2,-598435.4,0.0
3941.48,18.68,VesselSituation.landed,UNKNOWN,-0.048901,-74.71025,70.2,0.0,0.0,-21.72,90.18,0.02,70.2,-598435.5,0.0
3941.72,18.92,VesselSituation.landed,UNKNOWN,-0.048901,-74.71025,70.2,0.0,0.0,-21.72,90.17,0.02,70.2,-598435.5,0.0
3941.94,19.14,VesselSituation.landed,UNKNOWN,-0.048901,-74.71025,70.2,0.0,0.0,-21.73,90.17,0.02,70.2,-598435.5,0.0
