ut,met,situation,biome,lat,lon,alt_m,vs_mps,speed_mps,pitch_deg,heading_deg,roll_deg,apo_m,peri_m,throttle
7439.35,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.97,270.32,-90.0,69.4,-598435.3,0.0
7439.61,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7439.83,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.97,270.32,-90.0,69.4,-598435.3,0.0
7440.05,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7440.27,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7440.47,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.97,270.32,-90.0,69.4,-598435.3,0.0
7440.69,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7440.89,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.97,270.32,-90.0,69.4,-598435.3,0.0
7441.15,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.97,270.32,-90.0,69.4,-598435.3,0.0
7441.37,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7441.59,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7441.81,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7441.99,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.97,270.32,-90.0,69.4,-598435.3,0.0
7442.23,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.97,270.32,-90.0,69.4,-598435.3,0.0
7442.43,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7442.65,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7442.85,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7443.07,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.97,270.32,-90.0,69.4,-598435.3,0.0
7443.29,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7443.51,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7443.73,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7443.95,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.97,270.32,-90.0,69.4,-598435.3,0.0
7444.15,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.97,270.32,-90.0,69.4,-598435.3,0.0
7444.37,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7444.59,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7444.81,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7445.01,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7445.25,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7445.47,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.97,270.32,-90.0,69.4,-598435.3,0.0
7445.69,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7445.89,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7446.15,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7446.37,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
7446.59,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.97,270.32,-90.0,69.4,-598435.3,0.0
7446.79,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.97,270.32,-90.0,69.4,-598435.3,0.0
7446.99,0.0,VesselSituation.pre_launch,UNKNOWN,-0.097208,-74.557685,69.4,0.0,0.0,89.96,270.32,-90.0,69.4,-598435.3,0.0
